Sector,English Score,Maths Score,ICSEA,Postcode,School Link,Overall Score,Total Enrolments,School Name
Non-government,3,5,1152,3214,"https://bettereducation.com.au/QuerySchool.aspx?Name=Geelong Grammar School,Corio,VIC,3214&State=VIC",95,1463,"Geelong Grammar School,Corio,VIC,3214"
Non-government,4,5,1080,3173,https://www.lighthouse.vic.edu.au?type=bettereducation&utm_source=bettereducation&utm_medium=website&utm_campaign=advertising,95,766,"Lighthouse Christian College,Keysborough,VIC,3173"
Non-government,4,5,1113,3930,"https://bettereducation.com.au/QuerySchool.aspx?Name=Peninsula Grammar,Mount Eliza,VIC,3930&State=VIC",95,1265,"Peninsula Grammar,Mount Eliza,VIC,3930"
Non-government,4,5,1143,3124,"https://bettereducation.com.au/QuerySchool.aspx?Name=Siena College,Camberwell,VIC,3124&State=VIC",95,791,"Siena College,Camberwell,VIC,3124"
Government,4,5,1061,3071,https://bettereducation.com.au/QuerySchool.aspx?Name=Virtual School Victoria&State=VIC,95,3649,Virtual School Victoria
Government,4,5,1114,3121,https://bettereducation.com.au/QuerySchool.aspx?Name=Melbourne Girls' College&State=VIC,95,1478,Melbourne Girls' College
Non-government,3,5,1102,3116,"https://bettereducation.com.au/QuerySchool.aspx?Name=Oxley College,Chirnside Park,VIC,3116&State=VIC",95,832,"Oxley College,Chirnside Park,VIC,3116"
Non-government,4,5,1122,3023,"https://bettereducation.com.au/QuerySchool.aspx?Name=Southern Cross Grammar,Caroline Springs,VIC,3023&State=VIC",95,681,"Southern Cross Grammar,Caroline Springs,VIC,3023"
Non-government,4,5,1123,3630,"https://bettereducation.com.au/QuerySchool.aspx?Name=Goulburn Valley Grammar School,Shepparton,VIC,3630&State=VIC",95,690,"Goulburn Valley Grammar School,Shepparton,VIC,3630"
Non-government,3,5,1094,3850,"https://bettereducation.com.au/QuerySchool.aspx?Name=Gippsland Grammar,Sale,VIC,3850&State=VIC",95,979,"Gippsland Grammar,Sale,VIC,3850"
Non-government,3,5,1075,3170,"https://bettereducation.com.au/QuerySchool.aspx?Name=Mazenod College,Mulgrave,VIC,3170&State=VIC",95,1425,"Mazenod College,Mulgrave,VIC,3170"
Government,3,5,1108,3187,https://bettereducation.com.au/QuerySchool.aspx?Name=Brighton Secondary College&State=VIC,95,1233,Brighton Secondary College
Government,4,5,1124,3126,https://bettereducation.com.au/QuerySchool.aspx?Name=Canterbury Girls Secondary College&State=VIC,95,1035,Canterbury Girls Secondary College
Non-government,4,5,1094,3131,"https://bettereducation.com.au/QuerySchool.aspx?Name=Nunawading Christian College,Nunawading,VIC,3131&State=VIC",94,171,"Nunawading Christian College,Nunawading,VIC,3131"
Government,4,5,1121,3070,https://bettereducation.com.au/QuerySchool.aspx?Name=Northcote High School&State=VIC,94,1849,Northcote High School
Non-government,3,5,1142,3194,"https://bettereducation.com.au/QuerySchool.aspx?Name=Mentone Grammar School,Mentone,VIC,3194&State=VIC",94,1548,"Mentone Grammar School,Mentone,VIC,3194"
Non-government,3,5,1135,3095,"https://bettereducation.com.au/QuerySchool.aspx?Name=ELTHAM College of Education,Research,VIC,3095&State=VIC",94,584,"ELTHAM College of Education,Research,VIC,3095"
Government,3,5,1095,3149,https://bettereducation.com.au/QuerySchool.aspx?Name=Mount Waverley Secondary College&State=VIC,94,1829,Mount Waverley Secondary College
Government,4,5,1103,3084,https://bettereducation.com.au/QuerySchool.aspx?Name=Viewbank College&State=VIC,94,1384,Viewbank College
Non-government,3,5,1113,3136,"https://bettereducation.com.au/QuerySchool.aspx?Name=Luther College,Croydon,VIC,3136&State=VIC",94,1187,"Luther College,Croydon,VIC,3136"
Non-government,3,5,1096,3340,"https://bettereducation.com.au/QuerySchool.aspx?Name=Bacchus Marsh Grammar,Bacchus Marsh,VIC,3340&State=VIC",94,2561,"Bacchus Marsh Grammar,Bacchus Marsh,VIC,3340"
Non-government,3,5,1129,3355,"https://bettereducation.com.au/QuerySchool.aspx?Name=Ballarat Grammar,Wendouree,VIC,3355&State=VIC",94,1535,"Ballarat Grammar,Wendouree,VIC,3355"
